#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-06-17T14:36:40 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-17T14:36:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJS/161/304/models&-order=I&-out=Cluster&-out=Mod&-out=W0/gamma&-out=E_W0/gamma&-out=e_W0/gamma&-out=r0pc&-out=E_r0pc&-out=e_r0pc&-out=Mtot&-out=E_Mtot&-out=e_Mtot&-out=sigp0&-out=vesc0&-out=Rad&-out=kappa1&-out=kappa2&-out=kappa3&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21610304
#Name: J/ApJS/161/304
#Title: Star clusters in the Milky Way and satellites (McLaughlin+, 2005)
#INFO	ivoid=ivo://cds.vizier/j/apjs/161/304	    IVOID of underlying data collection
#INFO	creator=McLaughlin D.E.	    First author or institution
#INFO	cites=bibcode:2005ApJS..161..304M	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/161/304	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21610304	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_161_304_models:
#Name: J/ApJS/161/304/models
#Title: Results of models: basic fit parameters,  structural and dynamical parameters, radii and {kappa}-space parameters
#Column	Cluster	(a11)	Cluster name with galaxy prefix	[ucd=meta.id;meta.main]
#Column	Mod	(A2)	[KW PL] Model fit (G1)	[ucd=meta.id;stat.fit]
#Column	W0/gamma	(F5.2)	Dimensionless central potential (6)	[ucd=stat.fit.param]
#Column	E_W0/gamma	(F5.2)	Upper 1{sigma} error in WO	[ucd=stat.error;stat.max]
#Column	e_W0/gamma	(F5.2)	Lower 1{sigma} error in WO	[ucd=stat.error]
#Column	r0pc	(F7.3)	Scale radius in parsecs	[ucd=phys.size.radius;instr.scale]
#Column	E_r0pc	(F6.3)	Upper 1{sigma} error in r0pc	[ucd=stat.error;stat.max]
#Column	e_r0pc	(F6.3)	Lower 1{sigma} error in r0pc	[ucd=stat.error]
#Column	Mtot	(F5.2)	Log of total model mass	[ucd=phys.mass;meta.modelled]
#Column	E_Mtot	(F5.2)	Upper 1{sigma} error in Mtot	[ucd=stat.error;stat.max]
#Column	e_Mtot	(F5.2)	Lower 1{sigma} error in Mtot	[ucd=stat.error]
#Column	sigp0	(F5.2)	Velocity dispersion at R=0	[ucd=phys.veloc.dispersion]
#Column	vesc0	(F5.2)	Escape velocity at R=0	[ucd=phys.veloc.escape]
#Column	Rad	(F6.2)	Distance from center of parent galaxy (1)	[ucd=pos.distance]
#Column	kappa1	(F6.3)	kappa_1_ fundamental-plane parameter (2)	[ucd=stat.param]
#Column	kappa2	(F6.3)	kappa_2_ fundmental-plane parameter (2)	[ucd=stat.param]
#Column	kappa3	(F6.3)	kappa_3_ fundamental-plane parameter (2)	[ucd=stat.param]
Cluster	Mod	W0/gamma	E_W0/gamma	e_W0/gamma	r0pc	E_r0pc	e_r0pc	Mtot	E_Mtot	e_Mtot	sigp0	vesc0	Rad	kappa1	kappa2	kappa3
 	 	 	 	 	pc	pc	pc	[solMass]	[solMass]	[solMass]	[km/s]	[km/s]	kpc	 	 	
-----------	--	-----	-----	-----	-------	------	------	-----	-----	-----	-----	-----	------	------	------	------
FORNAX1    	K 	 2.60	 0.50	 0.60	 14.280	 2.700	 1.730	 4.40	 0.05	 0.05	 1.15	 4.09	  1.59	-1.264	 1.749	 0.517
FORNAX1    	PL	 9.75	 2.45	 1.45	 26.310	 5.060	 3.460	 4.40	 0.05	 0.05	 1.15	 4.05	  1.59	-1.256	 1.743	 0.522
FORNAX1    	W 	 0.10	 0.70	 0.00	 77.240	 0.000	50.500	 4.40	 0.05	 0.05	 1.16	 4.10	  1.59	-1.259	 1.757	 0.518
FORNAX2    	K 	 4.00	 0.40	 0.40	  6.040	 0.610	 0.560	 5.07	 0.05	 0.05	 3.20	11.79	  1.06	-0.799	 3.150	 0.502
FORNAX2    	PL	 5.85	 0.50	 0.40	  9.430	 1.000	 0.850	 5.09	 0.05	 0.05	 3.25	11.76	  1.06	-0.780	 3.144	 0.505
FORNAX2    	W 	 3.10	 0.50	 0.70	  7.290	 1.390	 0.780	 5.08	 0.05	 0.05	 3.22	11.81	  1.06	-0.792	 3.150	 0.503
FORNAX3    	K 	 7.30	 0.30	 0.20	  1.250	 0.090	 0.150	 5.40	 0.05	 0.05	 6.31	25.77	  0.47	-0.546	 4.132	 0.518
FORNAX3    	PL	 3.50	 0.10	 0.10	  1.600	 0.140	 0.140	 5.53	 0.06	 0.06	 6.67	26.47	  0.47	-0.397	 3.926	 0.564
FORNAX3    	W 	 6.90	 0.20	 0.20	  1.410	 0.100	 0.090	 5.45	 0.05	 0.05	 6.58	26.35	  0.47	-0.502	 4.131	 0.527
FORNAX4    	K 	 6.80	 0.30	 0.30	  1.170	 0.160	 0.170	 5.18	 0.05	 0.05	 5.55	22.25	  0.22	-0.720	 4.210	 0.483
FORNAX4    	PL	 3.90	 0.15	 0.15	  1.820	 0.220	 0.220	 5.24	 0.06	 0.05	 5.69	21.93	  0.22	-0.670	 4.167	 0.490
FORNAX4    	W 	 6.30	 0.30	 0.30	  1.370	 0.160	 0.160	 5.21	 0.05	 0.05	 5.71	22.44	  0.22	-0.696	 4.224	 0.486
FORNAX5    	K 	 7.90	 0.20	 0.20	  0.950	 0.140	 0.130	 5.10	 0.05	 0.05	 4.46	18.67	  1.43	-0.731	 3.675	 0.546
FORNAX5    	PL	 3.50	 0.10	 0.10	  1.410	 0.280	 0.250	 5.21	 0.06	 0.06	 4.88	19.39	  1.43	-0.627	 3.654	 0.569
FORNAX5    	W 	 7.20	 9.40	 0.10	  1.010	 0.090	 1.000	 5.16	 0.05	 0.05	 5.16	20.89	  1.43	-0.686	 3.900	 0.550
LMC-HODGE11	K 	 6.00	 0.60	 0.60	  3.500	 0.280	 0.230	 5.17	 0.07	 0.06	 3.63	14.14	  3.71	-0.734	 3.305	 0.500
LMC-HODGE11	PL	 3.65	 0.35	 0.25	  4.010	 0.580	 0.440	 5.31	 0.13	 0.10	 3.64	14.27	  3.71	-0.593	 3.020	 0.535
LMC-HODGE11	W 	 6.10	 0.80	 0.70	  3.690	 0.320	 0.300	 5.22	 0.10	 0.07	 3.63	14.17	  3.71	-0.694	 3.225	 0.507
LMC-HODGE14	K 	 7.10	 0.40	 0.30	  1.780	 0.130	 0.150	 4.00	 0.09	 0.09	 1.10	 4.45	  3.37	-1.543	 2.593	 0.197
LMC-HODGE14	PL	 3.45	 0.20	 0.20	  2.120	 0.270	 0.290	 4.15	 0.18	 0.12	 1.12	 4.47	  3.37	-1.355	 2.212	 0.266
LMC-HODGE14	W 	 6.90	 0.40	 0.40	  1.960	 0.140	 0.140	 4.05	 0.10	 0.10	 1.11	 4.45	  3.37	-1.494	 2.512	 0.212
LMC-HODGE4 	K 	10.50	 9.00	 2.00	  3.500	 0.270	 0.150	 5.31	 1.91	 0.45	 1.44	 6.76	  4.46	-0.466	 0.979	 0.423
LMC-HODGE4 	PL	 3.05	 0.15	 0.00	  3.930	 0.360	 0.000	 5.56	 0.07	 0.54	 1.47	 6.19	  4.46	 2.793	-8.174	 2.941
LMC-HODGE4 	W 	11.30	 8.20	 2.70	  3.520	 0.290	 0.170	 5.59	 1.71	 0.41	 1.43	 6.90	  4.46	-0.175	 0.364	 0.497
LMC-NGC1466	K 	 5.40	 0.30	 0.30	  2.690	 0.170	 0.160	 5.24	 0.04	 0.04	 4.87	18.61	  7.38	-0.688	 3.855	 0.497
LMC-NGC1466	PL	 4.30	 0.20	 0.20	  3.600	 0.260	 0.270	 5.28	 0.04	 0.04	 4.92	18.56	  7.38	-0.650	 3.804	 0.503
LMC-NGC1466	W 	 5.00	 0.40	 0.40	  3.000	 0.220	 0.200	 5.25	 0.04	 0.04	 4.89	18.57	  7.38	-0.677	 3.844	 0.499
LMC-NGC1651	K 	 6.70	 0.70	 0.50	  3.910	 0.280	 0.310	 4.53	 0.11	 0.09	 1.46	 5.82	  3.59	-1.183	 2.496	 0.250
LMC-NGC1651	PL	 3.30	 0.25	 0.20	  4.090	 0.620	 0.500	 4.82	 0.39	 0.18	 1.45	 5.89	  3.59	-0.752	 1.484	 0.433
LMC-NGC1651	W 	 7.10	 0.80	 0.70	  4.010	 0.360	 0.330	 4.64	 0.18	 0.12	 1.45	 5.87	  3.59	-1.064	 2.239	 0.284
LMC-NGC1711	K 	 6.70	 0.30	 0.20	  2.030	 0.090	 0.130	 4.24	 0.05	 0.05	 1.46	 5.83	  2.60	-1.384	 3.702	-0.355
LMC-NGC1711	PL	 3.70	 0.10	 0.15	  2.640	 0.150	 0.230	 4.33	 0.07	 0.06	 1.50	 5.87	  2.60	-1.292	 3.575	-0.333
LMC-NGC1711	W 	 6.40	 0.30	 0.20	  2.270	 0.090	 0.120	 4.28	 0.06	 0.05	 1.49	 5.87	  2.60	-1.352	 3.684	-0.349
LMC-NGC1718	K 	 6.30	 0.40	 0.40	  2.510	 0.140	 0.130	 4.57	 0.22	 0.22	 2.04	 8.04	  3.55	-1.159	 3.188	 0.239
LMC-NGC1718	PL	 3.60	 0.20	 0.20	  2.900	 0.260	 0.280	 4.70	 0.25	 0.23	 2.05	 8.08	  3.55	-1.014	 2.891	 0.280
LMC-NGC1718	W 	 6.40	 0.50	 0.60	  2.640	 0.200	 0.150	 4.62	 0.23	 0.23	 2.04	 8.06	  3.55	-1.111	 3.092	 0.249
LMC-NGC1754	K 	 7.70	 0.30	 0.20	  0.630	 0.080	 0.120	 5.07	 0.05	 0.05	 5.56	23.09	  2.36	-0.761	 4.215	 0.532
LMC-NGC1754	PL	 3.25	 0.10	 0.10	  0.730	 0.130	 0.130	 5.35	 0.16	 0.11	 5.84	23.82	  2.36	-0.284	 3.167	 0.762
LMC-NGC1754	W 	 7.40	 0.20	 0.20	  0.690	 0.090	 0.090	 5.16	 0.06	 0.06	 5.88	24.00	  2.36	-0.665	 4.125	 0.563
LMC-NGC1777	K 	 6.10	 0.40	 0.40	  3.640	 0.250	 0.210	 4.28	 0.11	 0.11	 1.26	 4.92	  4.40	-1.362	 2.744	 0.073
